*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
de de SPS00 0.999984
generación generación NCFS000 1
termoeléctrico termoeléctrico AQ0MS0 1
indio indio NCMS000 0.642696
mara mara VMSI3S0 0.142887
i i NCFS000 1
, , Fc 1
comprende comprender VMIP3S0 0.994868
dos 2 Z 0.991679
fases fase NCFP000 1
. . Fp 1
en en SPS00 1
la el DA0FS0 0.972269
primera 1 AO0FS0 0.997382
fase fase NCFS000 1
se se P00CN000 0.465639
desarrollarán desarrollar VMIF3P0 1
las el DA0FP0 0.970954
siguientes siguiente AQ0CP0 1
actividades actividad NCFP000 1
: : Fd 1
i i NCFS000 1
) ) Fpt 1
revisión revisión NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
estudios estudio NCMP000 1
básicos básico AQ0MP0 1
, , Fc 1
desarrollo desarrollo NCMS000 0.992424
de de SPS00 0.999984
la el DA0FS0 0.972269
ingeniería ingeniería NCFS000 1
básica básico AQ0FS0 1
, , Fc 1
elaboración elaboración NCFS000 1
de de SPS00 0.999984
términos término NCMP000 1
de de SPS00 0.999984
referencia referencia NCFS000 0.823267
para para SPS00 0.999103
la el DA0FS0 0.972269
contratación contratación NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
firma firma NCFS000 0.659447
constructora constructor AQ0FS0 0.65727
, , Fc 1
evaluación evaluación NCFS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
ofertas oferta NCFP000 0.973497
y y CC 0.999962
negociación negociación NCFS000 1
y y CC 0.999962
cierre cierre NCMS000 0.899604
de de SPS00 0.999984
los el DA0MP0 0.976481
contratos contrato NCMP000 1
respectivos respectivo AQ0MP0 1
; ; Fx 1
ii ii RG 0.751648
) ) Fpt 1
la el DA0FS0 0.972269
siguiente siguiente AQ0CS0 1
fase fase NCFS000 1
comprende comprender VMIP3S0 0.994868
la el DA0FS0 0.972269
construcción construcción NCFS000 1
, , Fc 1
supervisión supervisión NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
misma mismo AQ0FS0 0.924757
y y CC 0.999962
puesta poner VMP00SF 0.403846
en en SPS00 1
operación operación NCFS000 1
comercial comercial AQ0CS0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
central central AQ0CS0 0.980769
termoeléctrica termoeléctrico AQ0FS0 1
. . Fp 1

el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
contempla contemplar VMIP3S0 0.994868
el el DA0MS0 1
diseño diseño NCMS000 0.97619
, , Fc 1
la el DA0FS0 0.972269
procura procura NCFS000 0.546947
, , Fc 1
la el DA0FS0 0.972269
construcción construcción NCFS000 1
y y CC 0.999962
la el DA0FS0 0.972269
puesta puesta NCFS000 0.596154
en en SPS00 1
servicio servicio NCMS000 1
de de SPS00 0.999984
una uno DI0FS0 0.951575
nueva nuevo AQ0FS0 0.995283
infraestructura infraestructura NCFS000 1
eléctrica eléctrico AQ0FS0 1
conformada conformar VMP00SF 1
por por SPS00 1
una uno DI0FS0 0.951575
central central AQ0CS0 0.980769
termoeléctrica termoeléctrico AQ0FS0 1
a a SPS00 0.996023
carbón carbón NCMS000 1
, , Fc 1
incluyendo incluir VMG0000 1
una uno DI0FS0 0.951575
subestación subestación NCFS000 1
eléctrica eléctrico AQ0FS0 1
elevadora elevadora NCFS000 0.414738
a a SPS00 0.996023
230 230 Z 1
kv kv NCFS000 0.15945
y y CC 0.999962
una uno DI0FS0 0.951575
línea línea NCFS000 0.64267
de de SPS00 0.999984
transmisión transmisión NCFS000 1
eléctrica eléctrico AQ0FS0 1
en en SPS00 1
230 230 Z 1
kv kv NCFS000 0.15945
. . Fp 1

*** *** Fz 1
justificacion justificacion VMIS3P0 0.923476
: : Fd 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
de de SPS00 0.999984
generación generación NCFS000 1
termoeléctrico termoeléctrico AQ0MS0 1
indio indio NCMS000 0.642696
mara mara VMSI3S0 0.142887
i i NCFS000 1
se se P00CN000 0.465639
