*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
desde desde SPS00 1
hace hacer VMIP3S0 1
años año NCMP000 1
venezuela vena NCFS00X 1
ha haber VAIP3S0 0.999255
usado usar VMP00SM 1
bombas bomba NCFP000 0.983871
axiales axial AQ0CP0 1
, , Fc 1
su su DP3CS0 1
campo campo NCMS000 0.99569
de de SPS00 0.999984
empleo empleo NCMS000 0.822581
ha haber VAIP3S0 0.999255
sido ser VSP00SM 1
principalmente principalmente RG 1
para para SPS00 0.999103
el el DA0MS0 1
control control NCMS000 1
de de SPS00 0.999984
inundaciones inundación NCFP000 1
o o CC 0.999769
sistemas sistema NCMP000 1
de de SPS00 0.999984
riegos riego NCMP000 1
en en SPS00 1
las el DA0FP0 0.970954
zonas zona NCFP000 1
oriental oriental AQ0CS0 0.65727
, , Fc 1
central central AQ0CS0 0.980769
y y CC 0.999962
occidental occidental AQ0CS0 0.65727
de de SPS00 1
el el DA0MS0 1
país país NCMS000 1
; ; Fx 1
en en SPS00 1
la el DA0FS0 0.972269
nación nación NCFS000 1
no no RN 0.998134
existen existir VMIP3P0 1
empresas empresa NCFP000 1
que que CS 0.437483
fabriquen fabricar VMSP3P0 0.885893
estos este DD0MP0 0.998084
dispositivos dispositivo AQ0MP0 0.582191
y y CC 0.999962
por por SPS00 1
tanto tanto RG 0.862252
son ser VSIP3P0 0.988842
adquiridos adquirir VMP00PM 1
por por SPS00 1
importación importación NCFS000 1
a a SPS00 0.996023
altos alto AQ0MP0 0.507247
precios precio NCMP000 1
o o CC 0.999769
producción producción NCFS000 1
por por SPS00 1
talleres taller NCMP000 1
metalmecánicos metalmecánicos AQ0MP0 1
venezolanos venezolano NCMP000 0.642663
encargados encargar VMP00PM 0.691767
de de SPS00 0.999984
construir construir VMN0000 1
las lo PP3FPA00 1
artesanalmente artesanalmente RG 1
( ( Fpa 1
mediante mediante SPS00 0.987805
de de SPS00 0.999984
procesos proceso NCMP000 1
de de SPS00 0.999984
conformado conformado NCMS000 0.308233
con con SPS00 1
y y CC 0.999962
/ / Fh 1
o o CC 0.999769
sin sin SPS00 1
arranque arranque NCMS000 0.768697
de de SPS00 0.999984
virutas viruta NCFP000 1
) ) Fpt 1
sin sin SPS00 1
tener tener VMN0000 1
conocimientos conocimiento NCMP000 1
técnicos técnico AQ0MP0 0.5
especiales especial AQ0CP0 1
de de SPS00 0.999984
las el DA0FP0 0.970954
áreas área NCFP000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
mecánica mecánica NCFS000 0.33008
de de SPS00 0.999984
los el DA0MP0 0.976481
fluidos fluido NCMP000 0.458153
y y CC 0.999962
de de SPS00 0.999984
las el DA0FP0 0.970954
turbomáquinas turbomáquina NCFP000 1
, , Fc 1
estas este DD0FP0 0.97043
circunstancias circunstancia NCFP000 1
ofrecen ofrecer VMIP3P0 1
a a SPS00 1
el el DA0MS0 1
mercado mercado NCMS000 0.97619
nacional nacional AQ0CS0 1
un uno DI0MS0 0.987295
producto producto NCMS000 0.980769
con con SPS00 1
deficiencias deficiencia NCFP000 1
, , Fc 1
ya_que ya_que CS 1
descartan descartar VMIP3P0 1
los el DA0MP0 0.976481
lineamientos lineamiento NCMP000 1
de de SPS00 0.999984
diseño diseño NCMS000 0.97619
que que PR0CN000 0.562517
estos este DD0MP0 0.998084
equipos equipo NCMP000 1
requieren requerir VMIP3P0 1
. . Fp 1
esta este DD0FS0 0.986779
realidad realidad NCFS000 1
materializa materializar VMIP3S0 0.994868
o o CC 0.999769
constituye constituir VMIP3S0 0.994868
riesgos riesgo NCMP000 1
representados representar VMP00PM 1
en en SPS00 1
daños daño NCMP000 1
significativos significativo AQ0MP0 1
con con SPS00 1
las el DA0FP0 0.970954
correspondientes correspondiente AQ0CP0 0.477279
secuelas secuela NCFP000 1
tales tal DD0CP0 0.909774
como como CS 0.999289
paralización paralización NCFS000 1
de de SPS00 0.999984
obras obra NCFP000 0.986111
y y CC 0.999962
/ / Fh 1
o o CC 0.999769
proyectos proyecto NCMP000 1
, , Fc 1
gastos gasto NCMP000 1
no no RN 0.998134
considerados considerar VMP00PM 1
en en SPS00 1
planificación planificación NCFS000 1
, , Fc 1
pérdida pérdida NCFS000 1
de de SPS00 0.999984
horas hora NCFP000 1
hombres hombre NCMP000 1
, , Fc 1
entre entre SPS00 0.998082
otras otro DI0FP0 0.734962
consecuencias consecuencia NCFP000 1
. . Fp 1

la el DA0FS0 0.972269
implantación implantación NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
fábrica fábrica NCFS000 1
de de SPS00 0.999984
bombas bomba NCFP000 0.983871
axiales axial AQ0CP0 1
en en SPS00 1
tinaquillo tinaco NCMS00D 1
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
cojedes cojedes NCFP000 0.750205
, , Fc 1
tiene tener VMIP3S0 1
como como CS 0.999289
meta meta NCFS000 0.536842
principal principal AQ0CS0 0.986111
fabricar fabricar VMN0000 1
el el DA0MS0 1
diseño diseño NCMS000 0.97619
de de SPS00 0.999984
bomba bomba NCFS000 0.992424
axial axial AQ0CS0 1
estudiado estudiar VMP00SM 1
por por SPS00 1
más más RG 1
de de SPS00 0.999984
ocho 8 Z 1
años año NCMP000 1
y y CC 0.999962
avalado avalar VMP00SM 1
por por SPS00 1
la el DA0FS0 0.972269
escuela escuela NCFS000 1
de de SPS00 0.999984
ingeniería ingeniería NCFS000 1
mecánica mecánico AQ0FS0 0.339841
de de SPS00 0.999984
la el DA0FS0 0.972269
universidad universidad NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
andes andar VMSP2S0 1
, , Fc 1
este este DD0MS0 0.960092
diseño diseño NCMS000 0.97619
que que PR0CN000 0.562517
se se P00CN000 0.465639
propone proponer VMIP3S0 1
fabricar fabricar VMN0000 1
presenta presentar VMIP3S0 0.990196
entre entre SPS00 0.998082
sus su DP3CP0 0.999692
ventajas ventaja NCFP000 1
fundamentales fundamental AQ0CP0 0.965
: : Fd 1
factibilidad factibilidad NCFS000 1
de de SPS00 0.999984
construcción construcción NCFS000 1
y y CC 0.999962
rapidez rapidez NCFS000 1
de de SPS00 0.999984
ensamblaje ensamblaje NCMS000 1
permitiendo permitir VMG0000 1
ahorros ahorro NCMP000 1
en en SPS00 1
tiempos tiempo NCMP000 1
de de SPS00 0.999984
producción producción NCFS000 1
y y CC 0.999962
disminución disminución NCFS000 1
de de SPS00 0.999984
costos costo NCMP000 1
de de SPS00 0.999984
fabricación fabricación NCFS000 1
, , Fc 1
garantizando garantizar VMG0000 1
eficacia eficacia NCFS000 1
y y CC 0.999962
buen bueno AQ0MS0 1
funcionamiento funcionamiento NCMS000 1
de de SPS00 0.999984
este este DD0MS0 0.960092
equipo equipo NCMS000 0.996894
tomando tomar VMG0000 1
en en SPS00 1
cuenta cuenta NCFS000 0.774691
que que PR0CN000 0.562517
son ser VSIP3P0 0.988842
aplicadas aplicar VMP00PF 1
sólidas sólido AQ0FP0 1
bases base NCCP000 0.995706
de de SPS00 0.999984
diseño diseño NCMS000 0.97619
en en SPS00 1
la el DA0FS0 0.972269
rama rama NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
ingeniería ingeniería NCFS000 1
( ( Fpa 1
áreas área NCFP000 1
de de SPS00 0.999984
mecánica mecánica NCFS000 0.33008
de de SPS00 0.999984
los el DA0MP0 0.976481
fluidos fluido NCMP000 0.458153
y y CC 0.999962
turbomáquinas turbomáquina NCFP000 1
) ) Fpt 1
, , Fc 1
amén amén NCMS000 0.96144
de de SPS00 0.999984
significar significar VMN0000 1
ahorros ahorro NCMP000 1
en_materia_de en_materia_de SPS00 1
trámites trámite NCMP000 1
administrativos administrativo AQ0MP0 0.50727
requeridos requerir VMP00PM 1
en en SPS00 1
el el DA0MS0 1
proceso proceso NCMS000 0.994505
de de SPS00 0.999984
importación importación NCFS000 1
, , Fc 1
otro otro DI0MS0 0.612994
factor factor NCMS000 1
a a SPS00 0.996023
considerar considerar VMN0000 1
constituye constituir VMIP3S0 0.994868
el el DA0MS0 1
fundamental fundamental AQ0CS0 1
ahorro ahorro NCMS000 0.973453
de de SPS00 0.999984
divisas divisa NCFP000 0.973497
y y CC 0.999962
empleo empleo NCMS000 0.822581
de de SPS00 0.999984
mano mano NCFS000 0.992095
de de SPS00 0.999984
obra obra NCFS000 0.991416
y y CC 0.999962
talentos talento NCMP000 1
autóctonos autóctono AQ0MP0 1
. . Fp 1
*** *** Fz 1
justificacion justificacion VMIS3P0 0.923476
: : Fd 1
en en SPS00 1
venezuela vena NCFS00X 1
el el DA0MS0 1
sector sector NCMS000 1
agropecuario agropecuario AQ0MS0 1
y y CC 0.999962
acuicultor acuicultor NCMS000 0.904112
, , Fc 1
las el DA0FP0 0.970954
industrias industria NCFP000 0.973497
de de SPS00 0.999984
alimentos alimento NCMP000 1
, , Fc 1
papeleras papelera NCFP000 0.97619
, , Fc 1
petroleras petrolero NCFP000 0.60936
entre entre SPS00 0.998082
otras otro PI0FP000 0.265038
, , Fc 1
es ser VSIP3S0 1
de de SPS00 0.999984
gran gran AQ0CS0 1
utilidad utilidad NCFS000 1
usar usar VMN0000 1
bombas bomba NCFP000 0.983871
axiales axial AQ0CP0 1
, , Fc 1
en en SPS00 1
virtud virtud NCFS000 1
a a SPS00 0.996023
que que CS 0.437483
esta este DD0FS0 0.986779
turbomáquina turbomáquina NCFS000 1
es ser VSIP3S0 1
empleada emplear VMP00SF 0.451809
para para SPS00 0.999103
solucionar solucionar VMN0000 1
problemas problema NCMP000 1
donde donde PR000000 0.967437
se se P00CN000 0.465639
requieren requerir VMIP3P0 1
considerables considerable AQ0CP0 1
sistemas sistema NCMP000 1
de de SPS00 0.999984
bombeo bombeo NCMS000 0.973384
, , Fc 1
pues pues CS 0.998047
, , Fc 1
su su DP3CS0 1
función función NCFS000 1
es ser VSIP3S0 1
