*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
motiva motivar VMIP3S0 0.16287
la el DA0FS0 0.972269
elaboración elaboración NCFS000 1
y y CC 0.999962
presentación presentación NCFS000 1
de de SPS00 0.999984
este este DD0MS0 0.960092
proyecto proyecto NCMS000 0.986111
especial especial AQ0CS0 1
, , Fc 1
el el DA0MS0 1
momento momento NCMS000 1
histórico histórico AQ0MS0 1
que que PR0CN000 0.562517
vive vivir VMIP3S0 0.993421
la el DA0FS0 0.972269
república república NCFS000 1
bolivariana bolivariano AQ0FS0 1
de de SPS00 0.999984
venezuela vena NCFS00X 1
, , Fc 1
que que CS 0.437483
a a SPS00 0.996023
decir decir VMN0000 0.997512
de de SPS00 0.999984
nuestro nuestro DP1MSP 0.94402
presidente presidente NCMS000 1
, , Fc 1
hugo hugo VMIP1S0 0.213328
rafael rafael NCMS000 0.567351
chávez chávez RG 0.277743
frías frío AQ0FP0 0.974068
: : Fd 1
“ “ Fz 1
estamos estar VAIP1P0 1
en en SPS00 1
un uno DI0MS0 0.987295
proceso proceso NCMS000 0.994505
en en SPS00 1
el el DA0MS0 1
que que PR0CN000 0.562517
lo el DA0NS0 0.457533
nuevo nuevo AQ0MS0 1
puja puja NCFS000 0.696977
por por SPS00 1
nacer nacer VMN0000 1
definitivamente definitivamente RG 1
, , Fc 1
y y CC 0.999962
no no RN 0.998134
termina terminar VMIP3S0 0.994868
de de SPS00 0.999984
hacer hacer VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
; ; Fx 1
y y CC 0.999962
lo lo PP3CNA00 0.271177
viejo viejo AQ0MS0 0.847222
vive vivir VMIP3S0 0.993421
su su DP3CS0 1
agonía agonía NCFS000 1
y y CC 0.999962
no no RN 0.998134
termina terminar VMIP3S0 0.994868
de de SPS00 0.999984
morir morir VMN0000 1
” ” Fz 1
. . Fp 1

es ser VSIP3S0 1
precisamente precisamente RG 1
la el DA0FS0 0.972269
conciencia conciencia NCFS000 0.986928
que que PR0CN000 0.562517
tenemos tener VMIP1P0 1
respecto_a respecto_a SPS00 1
el el DA0MS0 1
adversario adversario NCMS000 1
que que PR0CN000 0.562517
enfrentamos enfrentar VMIP1P0 0.65
, , Fc 1
con con SPS00 1
apoyo apoyo NCMS000 0.983871
irrestricto irrestricto AQ0MS0 1
de de SPS00 1
el el DA0MS0 1
gobierno gobierno NCMS000 0.97619
norteamericano norteamericano AQ0MS0 0.865854
, , Fc 1
que que PR0CN000 0.562517
nos nos PP1CP000 0.935743
anima animar VMIP3S0 0.994868
a a SPS00 0.996023
proponer proponer VMN0000 1
la el DA0FS0 0.972269
creación creación NCFS000 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
órgano órgano NCMS000 1
que que PR0CN000 0.562517
de de SPS00 0.999984
manera manera NCFS000 1
articulada articular VMP00SF 1
y y CC 0.999962
coordinada coordinar VMP00SF 1
, , Fc 1
genere generar VMSP3S0 0.558945
información información NCFS000 1
en_pro_de en_pro_de SPS00 1
el el DA0MS0 1
sagrado sagrado AQ0MS0 0.378709
deber deber NCMS000 0.97619
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
de de SPS00 0.999984
garantizar garantizar VMN0000 1
la el DA0FS0 0.972269
seguridad seguridad NCFS000 1
interna interno AQ0FS0 0.532314
y y CC 0.999962
externa externo AQ0FS0 0.65727
de de SPS00 0.999984
nuestra nuestro DP1FSP 0.900485
nación nación NCFS000 1
. . Fp 1

una uno DI0FS0 0.951575
propuesta propuesta NCFS000 0.458238
de de SPS00 0.999984
éste este PD0MS000 1
tenor tenor NCMS000 1
tiene tener VMIP3S0 1
su su DP3CS0 1
fundamento fundamento NCMS000 0.973497
en en SPS00 1
la el DA0FS0 0.972269
constitución constitución NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
república república NCFS000 1
bolivariana bolivariano AQ0FS0 1
de de SPS00 0.999984
venezuela vena NCFS00X 1
, , Fc 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
